teamId,teamName,firstName,lastName,position,birthDate,nationality,contractEndDate,contractType,salaryPerYear,overallRating,potential,physicalCondition,favoriteClubs,status
lada,Лада,Андрей,Алтыбармакян,ПНП,4 августа 1998,Россия,31 мая 2026,One-way,25,74,76,100,СКА,active
lada,Лада,Даниил,Аноп,ЛНП,18 ноября 2000,Россия,31 мая 2026,Two-way,"0,7",64,74,100,,active
lada,Лада,Александр,Бажухин,ЦТР,28 декабря 2005,Россия,31 мая 2027,Two-way,"0,5",53,77,100,,active
lada,Лада,Денис,Баранцев,защитник,12 апреля 1992,Россия,31 мая 2026,One-way,35,73,73,100,Лада,active
lada,Лада,Данил,Башкиров,ПНП,15 мая 2001,Россия,31 мая 2027,One-way,33,73,78,100,,active
lada,Лада,Максим,Белоусов,защитник,6 апреля 2005,Россия,31 мая 2027,Two-way,"0,5",58,77,100,,active
lada,Лада,Максим,Березин,защитник,29 января 1991,Россия,31 мая 2026,One-way,25,75,75,100,,active
lada,Лада,Рафаэль,Бикмуллин,ПНП,12 июля 1997,Россия,31 мая 2026,One-way,17,70,72,100,,active
lada,Лада,Данил,Бородин,ЛНП,10 марта 2005,Россия,31 мая 2027,Two-way,"0,5",60,75,100,Сибирь,active
lada,Лада,Иван,Бочаров,вратарь,18 мая 1995,Россия,31 мая 2026,One-way,25,78,78,100,Динамо Москва,active
lada,Лада,Карим,Вафин,защитник,4 февраля 2004,Россия,31 мая 2026,Two-way,"0,5",61,78,100,,active
lada,Лада,Александр,Государев,ПНП,21 апреля 2005,Россия,31 мая 2026,Two-way,"0,7",62,79,100,,active
lada,Лада,Евгений,Грошев,ПНП,31 декабря 1999,Россия,31 мая 2026,Two-way,11,71,74,100,,active
lada,Лада,Никита,Зимин,защитник,9 августа 2000,Россия,31 мая 2026,Two-way,"0,7",65,71,100,Локомотив,active
lada,Лада,Денис,Истюфеев,защитник,27 декабря 2004,Россия,31 мая 2027,Two-way,"0,5",59,77,100,,active
lada,Лада,Евгений,Калабушкин,защитник,25 ноября 1999,Россия,31 мая 2027,Two-way,15,73,76,100,,active
lada,Лада,Марат,Калимуллин,защитник,30 ноября 2005,Россия,31 мая 2027,Two-way,"0,5",56,79,100,,active
lada,Лада,Артем,Карпов,защитник,20 февраля 2005,Россия,31 мая 2027,Two-way,"0,5",54,74,100,,active
lada,Лада,Алекс,Коттон,защитник,12 мая 2001,Канада,31 мая 2026,One-way,25,75,79,100,,active
lada,Лада,Дмитрий,Кугрышев,ЛНП,18 января 1990,Россия,31 мая 2026,One-way,25,77,77,100,,active
lada,Лада,Джошуа,Лоуренс,ПНП,28 января 2002,Канада,31 мая 2026,One-way,25,74,78,100,,active
lada,Лада,Артем,Манукян,ЛНП,9 июня 1998,Россия,31 мая 2026,Two-way,1,68,72,100,Авангард,active
lada,Лада,Никита,Михайлов,ПНП,8 мая 1998,Россия,31 мая 2027,One-way,25,77,79,100,,active
lada,Лада,Петр,Михальченко,ЛНП,12 июля 2005,Россия,31 мая 2026,Two-way,"0,5",52,70,100,,active
lada,Лада,Данила,Моисеев,ЦТР,25 июля 1998,Россия,31 мая 2026,One-way,40,70,73,100,,active
lada,Лада,Егор,Морозов,защитник,30 сентября 2002,Россия,31 мая 2026,Two-way,"0,7",62,75,100,,active
lada,Лада,Данила,Овчарик,вратарь,1 ноября 2004,Россия,31 мая 2027,Two-way,"0,5",60,75,100,,active
lada,Лада,Алексей,Ожгихин,ЦТР,1 апреля 1998,Россия,31 мая 2026,Two-way,1,71,73,100,,active
lada,Лада,Вячеслав,Основин,ЦТР,5 марта 1994,Россия,31 мая 2026,One-way,5,73,73,100,,active
lada,Лада,Глеб,Петров,,10 июля 2001,Россия,31 мая 2026,Two-way,1,67,76,100,,active
lada,Лада,Денис,Попов,вратарь,30 мая 2002,Россия,31 мая 2026,Two-way,"0,7",64,80,100,,active
lada,Лада,Олег,Попов,защитник,12 августа 1997,Россия,31 мая 2026,One-way,"0,7",66,69,100,,active
lada,Лада,Никита,Попугаев,ПНП,20 ноября 1998,Россия,31 мая 2026,One-way,25,75,77,100,,active
lada,Лада,Илья,Рейнгардт,ПНП,8 сентября 2003,Россия,31 мая 2026,Two-way,6,71,79,100,,active
lada,Лада,Иван,Романов,ЛНП,20 января 1998,Россия,31 мая 2026,One-way,9,71,75,100,,active
lada,Лада,Райли,Савчук,ПНП,18 марта 1999,Канада,31 мая 2026,One-way,30,75,78,100,,active
lada,Лада,Владислав,Семин,защитник,17 февраля 1998,Россия,31 мая 2026,One-way,17,72,76,100,,active
lada,Лада,Олег,Сенькин,ЦТР,30 января 2005,Россия,31 мая 2027,Two-way,"0,5",58,75,100,,active
lada,Лада,Максим,Третьяк,вратарь,22 октября 1996,Россия,31 мая 2026,One-way,10,74,76,100,ЦСКА,active
lada,Лада,Александр,Трушков,вратарь,31 июля 1996,Россия,31 мая 2026,One-way,15,77,78,100,Спартак,active
lada,Лада,Владислав,Федоров,ЛНП,27 июля 2005,Россия,31 мая 2027,Two-way,"0,5",51,67,100,,active
lada,Лада,Александр,Хохлачев,ПНП,9 сентября 1993,Россия,31 мая 2026,One-way,20,75,75,100,,active
lada,Лада,Владислав,Червоненко,ПНП,1 марта 1999,Россия,31 мая 2026,Two-way,11,68,71,100,,active
lada,Лада,Данил,Юртайкин,ЛНП,1 июля 1997,Россия,31 мая 2026,One-way,25,75,76,100,,active
